cycle,price_wheat,price_rice,price_corn,price_water,price_labor,price_kernels,alive,deaths,gini_gold,total_money,avg_gold,max_gold,min_gold,avg_food,mean_capitalism,mean_survivalism,mean_sustainability,std_capitalism,std_survivalism,std_sustainability,unit_injected,unit_absorbed,unit_net,unit_processing,unit_kernels,bank_loaned,bank_interest_collected,bank_deposit_interest,landlords,bank_owned_land,foreclosures
425,53.838,3.449,20.304,3.477,5.207,210.0,100,0,0.7787,27113.14,38.82,450.0,-4.0,33.8,0.098,0.065,-0.008,0.246,0.191,0.155,950.08,0.0,950.08,6.2,5567,471.63,62.98,24711.63,51,453,453
426,53.816,3.25,20.354,3.652,4.426,210.0,100,0,0.7873,27715.19,35.05,349.0,-4.0,32.6,0.101,0.07,-0.009,0.246,0.186,0.153,483.23,2.4,480.83,3.4,5573,180.0,76.56,24968.02,51,454,454
427,50.385,3.244,22.32,3.567,4.728,210.0,100,0,0.7685,27502.6,33.88,348.0,-4.0,33.1,0.101,0.059,-0.014,0.234,0.191,0.156,427.44,0.7,426.74,3.0,5575,290.0,72.01,25224.68,50,454,454
428,51.236,3.122,21.626,3.669,4.828,210.0,100,0,0.7853,26988.4,30.33,414.08,-4.0,34.3,0.111,0.057,-0.018,0.232,0.19,0.161,499.97,0.1,499.87,3.2,5579,344.1,75.9,25488.21,50,455,455
429,51.07,3.434,20.985,3.927,5.179,210.0,100,0,0.7742,27583.7,36.71,348.98,-5.84,33.8,0.103,0.057,-0.018,0.228,0.191,0.161,741.76,0.0,741.76,4.9,5600,90.0,80.88,25744.16,50,455,455
430,46.683,3.697,20.23,3.897,4.58,207.839,100,0,0.793,27753.69,38.04,394.87,-7.84,34.2,0.106,0.06,-0.021,0.238,0.184,0.153,323.17,1.0,322.17,2.2,5594,219.14,74.99,26004.25,50,455,455
431,45.941,3.402,21.28,3.747,4.997,210.0,100,0,0.7982,28261.85,31.36,346.58,-7.84,32.1,0.104,0.058,-0.02,0.237,0.182,0.152,467.3,229.72,237.58,3.3,5598,145.0,40.82,26273.57,49,457,457
432,49.243,3.889,22.739,3.499,4.957,210.0,100,0,0.8311,28840.15,29.76,446.88,-7.84,31.8,0.113,0.058,-0.017,0.248,0.177,0.153,536.25,0.0,536.25,3.6,5606,188.69,50.42,26543.71,49,458,458
433,49.342,3.725,22.655,3.327,5.404,210.0,100,0,0.8207,27521.08,24.21,324.57,-7.84,33.7,0.108,0.056,-0.02,0.236,0.18,0.151,175.09,462.0,-286.91,1.1,5587,100.0,68.12,26812.42,49,458,458
434,48.736,3.421,23.662,3.54,4.98,210.0,100,0,0.842,28137.81,34.47,826.88,-9.84,34.8,0.116,0.056,-0.023,0.228,0.183,0.15,808.76,0.0,808.76,5.1,5610,1044.93,127.64,27087.13,48,458,458
435,44.767,3.644,23.273,3.572,5.428,210.0,100,0,0.883,30152.27,47.69,1280.67,-5.68,34.1,0.118,0.057,-0.021,0.212,0.179,0.147,380.94,0.3,380.64,2.3,5605,1559.9,163.97,27362.42,48,458,458
